surface	status	category	identifier	detail	source	line
rest_route	planned	POST	/_cluster/allocation/explain		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestClusterAllocationExplainAction.java	65
rest_route	planned	DELETE	/_cluster/routing/awareness/weights		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestClusterDeleteWeightedRoutingAction.java	41
rest_route	planned	DELETE	/_cluster/routing/awareness/{attribute}/weights		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestClusterDeleteWeightedRoutingAction.java	42
rest_route	planned	GET	/_cluster/settings		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestClusterGetSettingsAction.java	82
rest_route	planned	GET	/_cluster/routing/awareness/{attribute}/weights		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestClusterGetWeightedRoutingAction.java	38
rest_route	stubbed	GET	/_cluster/health		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestClusterHealthAction.java	69
rest_route	planned	GET	/_cluster/health/{index}		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestClusterHealthAction.java	69
rest_route	planned	PUT	/_cluster/routing/awareness/{attribute}/weights		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestClusterPutWeightedRoutingAction.java	38
rest_route	planned	POST	/_cluster/reroute		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestClusterRerouteAction.java	95
rest_route	planned	GET	/_search_shards		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestClusterSearchShardsAction.java	64
rest_route	planned	POST	/_search_shards		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestClusterSearchShardsAction.java	65
rest_route	planned	GET	/{index}/_search_shards		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestClusterSearchShardsAction.java	66
rest_route	planned	POST	/{index}/_search_shards		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestClusterSearchShardsAction.java	67
rest_route	planned	GET	/_cluster/state		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestClusterStateAction.java	95
rest_route	planned	GET	/_cluster/state/{metric}		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestClusterStateAction.java	96
rest_route	planned	GET	/_cluster/state/{metric}/{indices}		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestClusterStateAction.java	97
rest_route	planned	GET	/_cluster/stats		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestClusterStatsAction.java	70
rest_route	planned	GET	/_cluster/stats/nodes/{nodeId}		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestClusterStatsAction.java	71
rest_route	planned	GET	/_cluster/stats/{metric}/nodes/{nodeId}		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestClusterStatsAction.java	72
rest_route	planned	GET	/_cluster/stats/{metric}/{index_metric}/nodes/{nodeId}		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestClusterStatsAction.java	73
rest_route	planned	PUT	/_cluster/settings		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestClusterUpdateSettingsAction.java	67
rest_route	planned	POST	/_snapshot/{repository}/{snapshot}		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestCreateSnapshotAction.java	63
rest_route	planned	PUT	/_snapshot/{repository}/{snapshot}		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestCreateSnapshotAction.java	63
rest_route	planned	PUT	/_cluster/decommission/awareness/{awareness_attribute_name}/{awareness_attribute_value}		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestDecommissionAction.java	35
rest_route	planned	DELETE	/_cluster/decommission/awareness		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestDeleteDecommissionStateAction.java	33
rest_route	planned	DELETE	/_snapshot/{repository}		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestDeleteRepositoryAction.java	60
rest_route	planned	DELETE	/_snapshot/{repository}/{snapshot}		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestDeleteSnapshotAction.java	61
rest_route	planned	DELETE	/_scripts/{id}		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestDeleteStoredScriptAction.java	58
rest_route	planned	GET	/_cluster/decommission/awareness/{awareness_attribute_name}/_status		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestGetDecommissionStateAction.java	33
rest_route	planned	GET	/_snapshot		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestGetRepositoriesAction.java	76
rest_route	planned	GET	/_snapshot/{repository}		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestGetRepositoriesAction.java	76
rest_route	planned	GET	/_script_context		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestGetScriptContextAction.java	57
rest_route	planned	GET	/_script_language		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestGetScriptLanguageAction.java	57
rest_route	planned	GET	/_snapshot/{repository}/{snapshot}		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestGetSnapshotsAction.java	61
rest_route	planned	GET	/_scripts/{id}		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestGetStoredScriptAction.java	58
rest_route	planned	GET	/_tasks/{task_id}		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestGetTaskAction.java	58
rest_route	planned	GET	/_tasks		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestListTasksAction.java	75
rest_route	planned	GET	/_nodes/hot_threads		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestNodesHotThreadsAction.java	114
rest_route	planned	GET	/_nodes/{nodeId}/hot_threads		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestNodesHotThreadsAction.java	114
rest_route	planned	GET	/_nodes		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestNodesInfoAction.java	71
rest_route	planned	GET	/_nodes/{nodeId}		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestNodesInfoAction.java	73
rest_route	planned	GET	/_nodes/{nodeId}/{metrics}		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestNodesInfoAction.java	74
rest_route	planned	GET	/_nodes/{nodeId}/info/{metrics}		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestNodesInfoAction.java	76
rest_route	planned	GET	/_nodes/stats		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestNodesStatsAction.java	70
rest_route	planned	GET	/_nodes/{nodeId}/stats		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestNodesStatsAction.java	71
rest_route	planned	GET	/_nodes/stats/{metric}		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestNodesStatsAction.java	72
rest_route	planned	GET	/_nodes/{nodeId}/stats/{metric}		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestNodesStatsAction.java	73
rest_route	planned	GET	/_nodes/stats/{metric}/{index_metric}		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestNodesStatsAction.java	74
rest_route	planned	GET	/_nodes/{nodeId}/stats/{metric}/{index_metric}		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestNodesStatsAction.java	75
rest_route	planned	GET	/_nodes/usage		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestNodesUsageAction.java	68
rest_route	planned	GET	/_nodes/{nodeId}/usage		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestNodesUsageAction.java	69
rest_route	planned	GET	/_nodes/usage/{metric}		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestNodesUsageAction.java	70
rest_route	planned	GET	/_nodes/{nodeId}/usage/{metric}		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestNodesUsageAction.java	71
rest_route	planned	GET	/_cluster/pending_tasks		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestPendingClusterTasksAction.java	59
rest_route	planned	POST	/_filecache/prune		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestPruneCacheAction.java	36
rest_route	planned	POST	/_snapshot/{repository}		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestPutRepositoryAction.java	63
rest_route	planned	PUT	/_snapshot/{repository}		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestPutRepositoryAction.java	63
rest_route	planned	POST	/_scripts/{id}		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestPutStoredScriptAction.java	65
rest_route	planned	PUT	/_scripts/{id}		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestPutStoredScriptAction.java	66
rest_route	planned	POST	/_scripts/{id}/{context}		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestPutStoredScriptAction.java	67
rest_route	planned	PUT	/_scripts/{id}/{context}		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestPutStoredScriptAction.java	68
rest_route	planned	POST	/_nodes/reload_secure_settings		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestReloadSecureSettingsAction.java	89
rest_route	planned	POST	/_nodes/{nodeId}/reload_secure_settings		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestReloadSecureSettingsAction.java	89
rest_route	planned	GET	/_remote/info		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestRemoteClusterInfoAction.java	56
rest_route	planned	GET	/_remotestore/metadata/{index}		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestRemoteStoreMetadataAction.java	34
rest_route	planned	GET	/_remotestore/metadata/{index}/{shard_id}		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestRemoteStoreMetadataAction.java	34
rest_route	planned	GET	/_remotestore/stats/{index}		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestRemoteStoreStatsAction.java	35
rest_route	planned	GET	/_remotestore/stats/{index}/{shard_id}		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestRemoteStoreStatsAction.java	35
rest_route	planned	POST	/_remotestore/_restore		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestRestoreRemoteStoreAction.java	32
rest_route	planned	POST	/_snapshot/{repository}/{snapshot}/_restore		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestRestoreSnapshotAction.java	60
rest_route	planned	GET	/_snapshot/{repository}/{snapshot}/{index}/_status		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestSnapshotsStatusAction.java	64
rest_route	planned	GET	/_snapshot/{repository}/{snapshot}/_status		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestSnapshotsStatusAction.java	65
rest_route	planned	GET	/_snapshot/{repository}/_status		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestSnapshotsStatusAction.java	66
rest_route	planned	GET	/_snapshot/_status		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestSnapshotsStatusAction.java	67
rest_route	planned	POST	/_snapshot/{repository}/_verify		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestVerifyRepositoryAction.java	60
rest_route	planned	GET	_wlm/stats		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestWlmStatsAction.java	62
rest_route	planned	GET	_wlm/{nodeId}/stats		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestWlmStatsAction.java	63
rest_route	planned	GET	_wlm/stats/{workloadGroupId}		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestWlmStatsAction.java	64
rest_route	planned	GET	_wlm/{nodeId}/stats/{workloadGroupId}		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestWlmStatsAction.java	65
rest_route	planned	GET	_list/wlm_stats		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestWlmStatsAction.java	66
rest_route	planned	GET	_list/wlm_stats/{nodeId}/stats		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestWlmStatsAction.java	67
rest_route	planned	GET	_list/wlm_stats/stats/{workloadGroupId}		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestWlmStatsAction.java	68
rest_route	planned	GET	_list/wlm_stats/{nodeId}/stats/{workloadGroupId}		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestWlmStatsAction.java	69
rest_route	planned	DELETE	/_dangling/{index_uuid}		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/dangling/RestDeleteDanglingIndexAction.java	62
rest_route	planned	POST	/_dangling/{index_uuid}		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/dangling/RestImportDanglingIndexAction.java	61
rest_route	planned	GET	/_dangling		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/dangling/RestListDanglingIndicesAction.java	55
rest_route	planned	PUT	/{index}/_block/{block}		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/indices/RestAddIndexBlockAction.java	62
rest_route	planned	GET	/_analyze		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/indices/RestAnalyzeAction.java	78
rest_route	planned	POST	/_analyze		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/indices/RestAnalyzeAction.java	79
rest_route	planned	GET	/{index}/_analyze		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/indices/RestAnalyzeAction.java	80
rest_route	planned	POST	/{index}/_analyze		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/indices/RestAnalyzeAction.java	81
rest_route	planned	POST	/_cache/clear		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/indices/RestClearIndicesCacheAction.java	59
rest_route	planned	POST	/{index}/_cache/clear		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/indices/RestClearIndicesCacheAction.java	59
rest_route	planned	POST	/_close		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/indices/RestCloseIndexAction.java	63
rest_route	planned	POST	/{index}/_close		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/indices/RestCloseIndexAction.java	63
rest_route	planned	PUT	/_data_stream/{name}		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/indices/RestCreateDataStreamAction.java	58
rest_route	stubbed	PUT	/{index}		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/indices/RestCreateIndexAction.java	66
