status	method	path_or_expression	source	line
planned	DELETE	/_scripts/{id}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestDeleteStoredScriptAction.java	58
planned	GET	/_cluster/decommission/awareness/{awareness_attribute_name}/_status	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestGetDecommissionStateAction.java	33
planned	GET	/_snapshot	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestGetRepositoriesAction.java	76
planned	GET	/_snapshot/{repository}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestGetRepositoriesAction.java	76
planned	GET	/_script_context	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestGetScriptContextAction.java	57
planned	GET	/_script_language	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestGetScriptLanguageAction.java	57
planned	GET	/_snapshot/{repository}/{snapshot}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestGetSnapshotsAction.java	61
planned	GET	/_scripts/{id}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestGetStoredScriptAction.java	58
planned	GET	/_tasks/{task_id}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestGetTaskAction.java	58
planned	GET	/_tasks	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestListTasksAction.java	75
planned	GET	/_nodes/hot_threads	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestNodesHotThreadsAction.java	114
planned	GET	/_nodes/{nodeId}/hot_threads	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestNodesHotThreadsAction.java	114
planned	GET	/_nodes	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestNodesInfoAction.java	71
